Phase,Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Model Name
Training,1,1.9946050340479071,20.47289504036909,1.8584735707232827,25.77854671280277,densenet121_optuna
Training,2,1.643136343089017,42.79123414071511,1.6530375417910124,43.59861591695502,densenet121_optuna
Training,3,1.3823705022985284,62.86043829296425,1.4875579194018715,57.61245674740484,densenet121_optuna
Training,4,1.187329084222967,71.45328719723183,1.3516325134980052,63.32179930795848,densenet121_optuna
Training,5,1.0114357699047436,75.9515570934256,1.2373676268677962,66.43598615916954,densenet121_optuna
Training,6,0.8888229348442771,79.8154555940023,1.1454361614428068,68.33910034602076,densenet121_optuna
Training,7,0.7632269490848888,82.3529411764706,1.066878971300627,70.93425605536332,densenet121_optuna
Training,8,0.6600182137706063,84.60207612456747,0.9981515721270913,73.35640138408304,densenet121_optuna
Training,9,0.5732537659731778,87.08189158016148,0.9424492340338858,76.12456747404845,densenet121_optuna
Training,10,0.5244412357156927,88.29296424452134,0.8990437984466553,77.16262975778547,densenet121_optuna
