Phase,Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Model Name
Training,1,1.9199203382838856,18.223760092272205,1.6758262169988531,35.6401384083045,resnet18_optuna
Training,2,1.4043613932349466,50.403690888119954,1.4008213846307052,56.22837370242215,resnet18_optuna
Training,3,1.099474350972609,66.8396770472895,1.2168447657635337,64.87889273356402,resnet18_optuna
Training,4,0.8848650683056224,76.06689734717416,1.1078900349767584,68.68512110726644,resnet18_optuna
Training,5,0.7267334060235457,81.37254901960785,1.0175160420568365,72.83737024221453,resnet18_optuna
Training,6,0.605294940146533,84.31372549019608,0.9573940822952672,73.1833910034602,resnet18_optuna
Training,7,0.48290280645543876,88.06228373702422,0.9112721901190909,76.47058823529412,resnet18_optuna
Training,8,0.4144563084298914,90.42675893886967,0.864657472623022,77.85467128027682,resnet18_optuna
Training,9,0.34195912317796184,92.09919261822375,0.8372207393771723,79.75778546712803,resnet18_optuna
Training,10,0.2865580195730383,93.59861591695501,0.8204727910066906,80.62283737024221,resnet18_optuna
