claude_monet,0.8202764976958525,0.8654781199351702,0.8422712933753943,617.0,resnet_model
georges_braque,0.7358490566037735,0.34513274336283184,0.46987951807228917,113.0,resnet_model
pablo_picasso,0.6639344262295082,0.6014851485148515,0.6311688311688312,404.0,resnet_model
paul_cezanne,0.8898678414096917,0.753731343283582,0.8161616161616162,268.0,resnet_model
pierre_auguste_renoir,0.8422198041349293,0.9416058394160584,0.8891441700172314,822.0,resnet_model
salvador_dali,0.7298578199052133,0.56,0.6337448559670782,275.0,resnet_model
vincent_van_gogh,0.8352490421455939,0.897119341563786,0.8650793650793651,972.0,resnet_model
accuracy,0.811869778161913,0.811869778161913,0.811869778161913,0.811869778161913,resnet_model
macro avg,0.7881792125892232,0.70922179086804,0.7353499499774008,3471.0,resnet_model
weighted avg,0.8069297840989481,0.811869778161913,0.8045274504409571,3471.0,resnet_model
